# Program: ./chanconfig.pl  Version 1.21 2018-04-09 13:44 claude
# Generated by dcmgr@transform at 2021/09/16 17:45:06
# Modified by awk on Fri Sep 17 15:56:44 PDT 2021
# DB: dcucb  connect: dcucb  user: eew
# progname: EEW_UCB
# Epoch time: 2021/09/16 17:45:06
# distinct: distinct
# override: 0
# clipcheck: 1
# dupcheck: 1
# gaincheck: 1
# zcheck: 1
# showsensortype: 1
# showgroundmotionclip: 1
# showazdip: 1

#columns: network station location channel latitude longitude elevation samplerate gain units groundmotionclip azimuth dip sensortype
BK  BARR 00 BHZ 39.3048 -123.1975   264.7    40.00  6.487270e+08               DU/M/S       0.013689   0.0 -90.0 CMG-3T-PH,Velocity Sensor,GURALP
BK  BARR 00 HHE 39.3048 -123.1975   264.7   100.00  6.126800e+08               DU/M/S        UNKNOWN  89.0   0.0 CMG-3T-PH,Velocity Sensor,GURALP
BK  BARR 00 HHN 39.3048 -123.1975   264.7   100.00  6.143180e+08               DU/M/S        UNKNOWN 359.0   0.0 CMG-3T-PH,Velocity Sensor,GURALP
BK  BARR 00 HHZ 39.3048 -123.1975   264.7   100.00  6.126800e+08               DU/M/S       0.013689   0.0 -90.0 CMG-3T-PH,Velocity Sensor,GURALP
BK  BARR 00 HNE 39.3048 -123.1975   264.7   100.00  2.159710e+05            DU/M/S**2        UNKNOWN  94.0   0.0 FORTIS-PH,Accelerometer,GURALP
BK  BARR 00 HNN 39.3048 -123.1975   264.7   100.00  2.151510e+05            DU/M/S**2        UNKNOWN   4.0   0.0 FORTIS-PH,Accelerometer,GURALP
BK  BARR 00 HNZ 39.3048 -123.1975   264.7   100.00  2.143310e+05            DU/M/S**2        UNKNOWN   0.0 -90.0 FORTIS-PH,Accelerometer,GURALP
BK  BCCR 00 BHE 39.8186 -121.7342   517.5    40.00  3.145730e+08               DU/M/S        UNKNOWN  90.0   0.0 MBB-2,Velocity Sensor,EQMET
BK  BCCR 00 BHN 39.8186 -121.7342   517.5    40.00  3.145730e+08               DU/M/S        UNKNOWN   0.0   0.0 MBB-2,Velocity Sensor,EQMET
BK  BCCR 00 BHZ 39.8186 -121.7342   517.5    40.00  3.145730e+08               DU/M/S       0.026667   0.0 -90.0 MBB-2,Velocity Sensor,EQMET
BK  BCCR 00 HHE 39.8186 -121.7342   517.5   100.00  3.145730e+08               DU/M/S        UNKNOWN  90.0   0.0 MBB-2,Velocity Sensor,EQMET
BK  BCCR 00 HHN 39.8186 -121.7342   517.5   100.00  3.145730e+08               DU/M/S        UNKNOWN   0.0   0.0 MBB-2,Velocity Sensor,EQMET
BK  BCCR 00 HHZ 39.8186 -121.7342   517.5   100.00  3.145730e+08               DU/M/S       0.026667   0.0 -90.0 MBB-2,Velocity Sensor,EQMET
BK  BCCR 00 HNE 39.8186 -121.7342   515.8   100.00  2.142260e+05            DU/M/S**2        UNKNOWN  90.0   0.0 EPISENSOR ES-T,Accelerometer,KINEMETRICS
BK  BCCR 00 HNN 39.8186 -121.7342   515.8   100.00  2.140210e+05            DU/M/S**2        UNKNOWN   0.0   0.0 EPISENSOR ES-T,Accelerometer,KINEMETRICS
BK  BCCR 00 HNZ 39.8186 -121.7342   515.8   100.00  2.147050e+05            DU/M/S**2        UNKNOWN   0.0 -90.0 EPISENSOR ES-T,Accelerometer,KINEMETRICS
BK   BDM 00 BHE 37.9540 -121.8655   219.8    40.00  2.516582e+09               DU/M/S        UNKNOWN  90.0   0.0 Streckeisen STS-2 VBB Tri-Axial Seismometer
BK   BDM 00 BHN 37.9540 -121.8655   219.8    40.00  2.516582e+09               DU/M/S        UNKNOWN   0.0   0.0 Streckeisen STS-2 VBB Tri-Axial Seismometer
BK   BDM 00 BHZ 37.9540 -121.8655   219.8    40.00  2.516582e+09               DU/M/S       0.003333   0.0 -90.0 Streckeisen STS-2 VBB Tri-Axial Seismometer
BK   BDM 00 HHE 37.9540 -121.8655   219.8   100.00  2.516582e+09               DU/M/S        UNKNOWN  90.0   0.0 Streckeisen STS-2 VBB Tri-Axial Seismometer
BK   BDM 00 HHN 37.9540 -121.8655   219.8   100.00  2.516582e+09               DU/M/S        UNKNOWN   0.0   0.0 Streckeisen STS-2 VBB Tri-Axial Seismometer
BK   BDM 00 HHZ 37.9540 -121.8655   219.8   100.00  2.516582e+09               DU/M/S       0.003333   0.0 -90.0 Streckeisen STS-2 VBB Tri-Axial Seismometer
BK   BDM 00 HNE 37.9540 -121.8655   219.8   100.00  2.142690e+05            DU/M/S**2        UNKNOWN  90.0   0.0 Kinemetrics FBA ES-T Accel. GFE (4 g max 5 v/g)
BK   BDM 00 HNN 37.9540 -121.8655   219.8   100.00  2.143033e+05            DU/M/S**2        UNKNOWN   0.0   0.0 Kinemetrics FBA ES-T Accel. GFE (4 g max 5 v/g)
